"MTU (UTC)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (UTC)","Intraday Price (EUR/MWh)"
"17/04/2024 21:00:00 - 17/04/2024 22:00:00","BZN|SE3","Without Sequence","59.72","",""
"17/04/2024 22:00:00 - 17/04/2024 23:00:00","BZN|SE3","Without Sequence","61.82","",""
"17/04/2024 23:00:00 - 18/04/2024 00:00:00","BZN|SE3","Without Sequence","62.44","",""
"18/04/2024 00:00:00 - 18/04/2024 01:00:00","BZN|SE3","Without Sequence","62.69","",""
"18/04/2024 01:00:00 - 18/04/2024 02:00:00","BZN|SE3","Without Sequence","63.03","",""
"18/04/2024 02:00:00 - 18/04/2024 03:00:00","BZN|SE3","Without Sequence","63.81","",""
"18/04/2024 03:00:00 - 18/04/2024 04:00:00","BZN|SE3","Without Sequence","93.47","",""
"18/04/2024 04:00:00 - 18/04/2024 05:00:00","BZN|SE3","Without Sequence","121.88","",""
"18/04/2024 05:00:00 - 18/04/2024 06:00:00","BZN|SE3","Without Sequence","155.80","",""
"18/04/2024 06:00:00 - 18/04/2024 07:00:00","BZN|SE3","Without Sequence","131.19","",""
"18/04/2024 07:00:00 - 18/04/2024 08:00:00","BZN|SE3","Without Sequence","101.12","",""
"18/04/2024 08:00:00 - 18/04/2024 09:00:00","BZN|SE3","Without Sequence","90.21","",""
"18/04/2024 09:00:00 - 18/04/2024 10:00:00","BZN|SE3","Without Sequence","83.87","",""
"18/04/2024 10:00:00 - 18/04/2024 11:00:00","BZN|SE3","Without Sequence","80.64","",""
"18/04/2024 11:00:00 - 18/04/2024 12:00:00","BZN|SE3","Without Sequence","77.20","",""
"18/04/2024 12:00:00 - 18/04/2024 13:00:00","BZN|SE3","Without Sequence","73.01","",""
"18/04/2024 13:00:00 - 18/04/2024 14:00:00","BZN|SE3","Without Sequence","70.70","",""
"18/04/2024 14:00:00 - 18/04/2024 15:00:00","BZN|SE3","Without Sequence","70.88","",""
"18/04/2024 15:00:00 - 18/04/2024 16:00:00","BZN|SE3","Without Sequence","81.33","",""
"18/04/2024 16:00:00 - 18/04/2024 17:00:00","BZN|SE3","Without Sequence","94.03","",""
"18/04/2024 17:00:00 - 18/04/2024 18:00:00","BZN|SE3","Without Sequence","125.24","",""
"18/04/2024 18:00:00 - 18/04/2024 19:00:00","BZN|SE3","Without Sequence","128.83","",""
"18/04/2024 19:00:00 - 18/04/2024 20:00:00","BZN|SE3","Without Sequence","105.92","",""
"18/04/2024 20:00:00 - 18/04/2024 21:00:00","BZN|SE3","Without Sequence","63.98","",""
"18/04/2024 21:00:00 - 18/04/2024 22:00:00","BZN|SE3","Without Sequence","61.09","",""
"18/04/2024 22:00:00 - 18/04/2024 23:00:00","BZN|SE3","Without Sequence","49.18","",""
"18/04/2024 23:00:00 - 19/04/2024 00:00:00","BZN|SE3","Without Sequence","52.11","",""
"19/04/2024 00:00:00 - 19/04/2024 01:00:00","BZN|SE3","Without Sequence","50.53","",""
"19/04/2024 01:00:00 - 19/04/2024 02:00:00","BZN|SE3","Without Sequence","48.25","",""
"19/04/2024 02:00:00 - 19/04/2024 03:00:00","BZN|SE3","Without Sequence","47.97","",""
"19/04/2024 03:00:00 - 19/04/2024 04:00:00","BZN|SE3","Without Sequence","49.08","",""
"19/04/2024 04:00:00 - 19/04/2024 05:00:00","BZN|SE3","Without Sequence","60.12","",""
"19/04/2024 05:00:00 - 19/04/2024 06:00:00","BZN|SE3","Without Sequence","70.74","",""
"19/04/2024 06:00:00 - 19/04/2024 07:00:00","BZN|SE3","Without Sequence","77.87","",""
"19/04/2024 07:00:00 - 19/04/2024 08:00:00","BZN|SE3","Without Sequence","69.25","",""
"19/04/2024 08:00:00 - 19/04/2024 09:00:00","BZN|SE3","Without Sequence","61.27","",""
"19/04/2024 09:00:00 - 19/04/2024 10:00:00","BZN|SE3","Without Sequence","57.28","",""
"19/04/2024 10:00:00 - 19/04/2024 11:00:00","BZN|SE3","Without Sequence","52.16","",""
"19/04/2024 11:00:00 - 19/04/2024 12:00:00","BZN|SE3","Without Sequence","48.67","",""
"19/04/2024 12:00:00 - 19/04/2024 13:00:00","BZN|SE3","Without Sequence","46.38","",""
"19/04/2024 13:00:00 - 19/04/2024 14:00:00","BZN|SE3","Without Sequence","47.31","",""
"19/04/2024 14:00:00 - 19/04/2024 15:00:00","BZN|SE3","Without Sequence","50.91","",""
"19/04/2024 15:00:00 - 19/04/2024 16:00:00","BZN|SE3","Without Sequence","56.95","",""
"19/04/2024 16:00:00 - 19/04/2024 17:00:00","BZN|SE3","Without Sequence","60.04","",""
"19/04/2024 17:00:00 - 19/04/2024 18:00:00","BZN|SE3","Without Sequence","59.36","",""
"19/04/2024 18:00:00 - 19/04/2024 19:00:00","BZN|SE3","Without Sequence","52.16","",""
"19/04/2024 19:00:00 - 19/04/2024 20:00:00","BZN|SE3","Without Sequence","49.72","",""
"19/04/2024 20:00:00 - 19/04/2024 21:00:00","BZN|SE3","Without Sequence","45.62","",""
"19/04/2024 21:00:00 - 19/04/2024 22:00:00","BZN|SE3","Without Sequence","42.06","",""
"19/04/2024 22:00:00 - 19/04/2024 23:00:00","BZN|SE3","Without Sequence","39.92","",""
"19/04/2024 23:00:00 - 20/04/2024 00:00:00","BZN|SE3","Without Sequence","38.66","",""
"20/04/2024 00:00:00 - 20/04/2024 01:00:00","BZN|SE3","Without Sequence","37.51","",""
"20/04/2024 01:00:00 - 20/04/2024 02:00:00","BZN|SE3","Without Sequence","35.57","",""
"20/04/2024 02:00:00 - 20/04/2024 03:00:00","BZN|SE3","Without Sequence","32.13","",""
"20/04/2024 03:00:00 - 20/04/2024 04:00:00","BZN|SE3","Without Sequence","25.26","",""
"20/04/2024 04:00:00 - 20/04/2024 05:00:00","BZN|SE3","Without Sequence","25.45","",""
"20/04/2024 05:00:00 - 20/04/2024 06:00:00","BZN|SE3","Without Sequence","35.79","",""
"20/04/2024 06:00:00 - 20/04/2024 07:00:00","BZN|SE3","Without Sequence","39.71","",""
"20/04/2024 07:00:00 - 20/04/2024 08:00:00","BZN|SE3","Without Sequence","41.26","",""
"20/04/2024 08:00:00 - 20/04/2024 09:00:00","BZN|SE3","Without Sequence","42.07","",""
"20/04/2024 09:00:00 - 20/04/2024 10:00:00","BZN|SE3","Without Sequence","38.43","",""
"20/04/2024 10:00:00 - 20/04/2024 11:00:00","BZN|SE3","Without Sequence","28.97","",""
"20/04/2024 11:00:00 - 20/04/2024 12:00:00","BZN|SE3","Without Sequence","12.33","",""
"20/04/2024 12:00:00 - 20/04/2024 13:00:00","BZN|SE3","Without Sequence","10.55","",""
"20/04/2024 13:00:00 - 20/04/2024 14:00:00","BZN|SE3","Without Sequence","18.33","",""
"20/04/2024 14:00:00 - 20/04/2024 15:00:00","BZN|SE3","Without Sequence","37.41","",""
"20/04/2024 15:00:00 - 20/04/2024 16:00:00","BZN|SE3","Without Sequence","43.19","",""
"20/04/2024 16:00:00 - 20/04/2024 17:00:00","BZN|SE3","Without Sequence","47.31","",""
"20/04/2024 17:00:00 - 20/04/2024 18:00:00","BZN|SE3","Without Sequence","62.42","",""
"20/04/2024 18:00:00 - 20/04/2024 19:00:00","BZN|SE3","Without Sequence","63.22","",""
"20/04/2024 19:00:00 - 20/04/2024 20:00:00","BZN|SE3","Without Sequence","63.32","",""
"20/04/2024 20:00:00 - 20/04/2024 21:00:00","BZN|SE3","Without Sequence","62.92","",""
"20/04/2024 21:00:00 - 20/04/2024 22:00:00","BZN|SE3","Without Sequence","48.39","",""
"20/04/2024 22:00:00 - 20/04/2024 23:00:00","BZN|SE3","Without Sequence","54.71","",""
"20/04/2024 23:00:00 - 21/04/2024 00:00:00","BZN|SE3","Without Sequence","56.82","",""
"21/04/2024 00:00:00 - 21/04/2024 01:00:00","BZN|SE3","Without Sequence","58.10","",""
"21/04/2024 01:00:00 - 21/04/2024 02:00:00","BZN|SE3","Without Sequence","59.70","",""
"21/04/2024 02:00:00 - 21/04/2024 03:00:00","BZN|SE3","Without Sequence","60.93","",""
"21/04/2024 03:00:00 - 21/04/2024 04:00:00","BZN|SE3","Without Sequence","61.49","",""
"21/04/2024 04:00:00 - 21/04/2024 05:00:00","BZN|SE3","Without Sequence","61.04","",""
"21/04/2024 05:00:00 - 21/04/2024 06:00:00","BZN|SE3","Without Sequence","60.04","",""
"21/04/2024 06:00:00 - 21/04/2024 07:00:00","BZN|SE3","Without Sequence","60.88","",""
"21/04/2024 07:00:00 - 21/04/2024 08:00:00","BZN|SE3","Without Sequence","54.73","",""
"21/04/2024 08:00:00 - 21/04/2024 09:00:00","BZN|SE3","Without Sequence","43.29","",""
"21/04/2024 09:00:00 - 21/04/2024 10:00:00","BZN|SE3","Without Sequence","42.47","",""
"21/04/2024 10:00:00 - 21/04/2024 11:00:00","BZN|SE3","Without Sequence","43.94","",""
"21/04/2024 11:00:00 - 21/04/2024 12:00:00","BZN|SE3","Without Sequence","42.14","",""
"21/04/2024 12:00:00 - 21/04/2024 13:00:00","BZN|SE3","Without Sequence","41.48","",""
"21/04/2024 13:00:00 - 21/04/2024 14:00:00","BZN|SE3","Without Sequence","41.93","",""
"21/04/2024 14:00:00 - 21/04/2024 15:00:00","BZN|SE3","Without Sequence","47.70","",""
"21/04/2024 15:00:00 - 21/04/2024 16:00:00","BZN|SE3","Without Sequence","58.68","",""
"21/04/2024 16:00:00 - 21/04/2024 17:00:00","BZN|SE3","Without Sequence","74.60","",""
"21/04/2024 17:00:00 - 21/04/2024 18:00:00","BZN|SE3","Without Sequence","89.36","",""
"21/04/2024 18:00:00 - 21/04/2024 19:00:00","BZN|SE3","Without Sequence","95.26","",""
"21/04/2024 19:00:00 - 21/04/2024 20:00:00","BZN|SE3","Without Sequence","91.07","",""
"21/04/2024 20:00:00 - 21/04/2024 21:00:00","BZN|SE3","Without Sequence","84.63","",""
"21/04/2024 21:00:00 - 21/04/2024 22:00:00","BZN|SE3","Without Sequence","72.70","",""
"21/04/2024 22:00:00 - 21/04/2024 23:00:00","BZN|SE3","Without Sequence","77.08","",""
"21/04/2024 23:00:00 - 22/04/2024 00:00:00","BZN|SE3","Without Sequence","69.99","",""
"22/04/2024 00:00:00 - 22/04/2024 01:00:00","BZN|SE3","Without Sequence","64.55","",""
"22/04/2024 01:00:00 - 22/04/2024 02:00:00","BZN|SE3","Without Sequence","64.38","",""
"22/04/2024 02:00:00 - 22/04/2024 03:00:00","BZN|SE3","Without Sequence","69.51","",""
"22/04/2024 03:00:00 - 22/04/2024 04:00:00","BZN|SE3","Without Sequence","85.40","",""
"22/04/2024 04:00:00 - 22/04/2024 05:00:00","BZN|SE3","Without Sequence","105.90","",""
"22/04/2024 05:00:00 - 22/04/2024 06:00:00","BZN|SE3","Without Sequence","130.79","",""
"22/04/2024 06:00:00 - 22/04/2024 07:00:00","BZN|SE3","Without Sequence","117.46","",""
"22/04/2024 07:00:00 - 22/04/2024 08:00:00","BZN|SE3","Without Sequence","97.05","",""
"22/04/2024 08:00:00 - 22/04/2024 09:00:00","BZN|SE3","Without Sequence","81.86","",""
"22/04/2024 09:00:00 - 22/04/2024 10:00:00","BZN|SE3","Without Sequence","81.24","",""
"22/04/2024 10:00:00 - 22/04/2024 11:00:00","BZN|SE3","Without Sequence","77.05","",""
"22/04/2024 11:00:00 - 22/04/2024 12:00:00","BZN|SE3","Without Sequence","73.67","",""
"22/04/2024 12:00:00 - 22/04/2024 13:00:00","BZN|SE3","Without Sequence","74.13","",""
"22/04/2024 13:00:00 - 22/04/2024 14:00:00","BZN|SE3","Without Sequence","75.01","",""
"22/04/2024 14:00:00 - 22/04/2024 15:00:00","BZN|SE3","Without Sequence","71.90","",""
"22/04/2024 15:00:00 - 22/04/2024 16:00:00","BZN|SE3","Without Sequence","96.79","",""
"22/04/2024 16:00:00 - 22/04/2024 17:00:00","BZN|SE3","Without Sequence","118.20","",""
"22/04/2024 17:00:00 - 22/04/2024 18:00:00","BZN|SE3","Without Sequence","164.05","",""
"22/04/2024 18:00:00 - 22/04/2024 19:00:00","BZN|SE3","Without Sequence","170.96","",""
"22/04/2024 19:00:00 - 22/04/2024 20:00:00","BZN|SE3","Without Sequence","130.05","",""
"22/04/2024 20:00:00 - 22/04/2024 21:00:00","BZN|SE3","Without Sequence","105.77","",""
"22/04/2024 21:00:00 - 22/04/2024 22:00:00","BZN|SE3","Without Sequence","96.99","",""
"22/04/2024 22:00:00 - 22/04/2024 23:00:00","BZN|SE3","Without Sequence","88.32","",""
"22/04/2024 23:00:00 - 23/04/2024 00:00:00","BZN|SE3","Without Sequence","86.69","",""
"23/04/2024 00:00:00 - 23/04/2024 01:00:00","BZN|SE3","Without Sequence","85.95","",""
"23/04/2024 01:00:00 - 23/04/2024 02:00:00","BZN|SE3","Without Sequence","85.42","",""
"23/04/2024 02:00:00 - 23/04/2024 03:00:00","BZN|SE3","Without Sequence","86.35","",""
"23/04/2024 03:00:00 - 23/04/2024 04:00:00","BZN|SE3","Without Sequence","97.69","",""
"23/04/2024 04:00:00 - 23/04/2024 05:00:00","BZN|SE3","Without Sequence","121.40","",""
"23/04/2024 05:00:00 - 23/04/2024 06:00:00","BZN|SE3","Without Sequence","181.26","",""
"23/04/2024 06:00:00 - 23/04/2024 07:00:00","BZN|SE3","Without Sequence","136.28","",""
"23/04/2024 07:00:00 - 23/04/2024 08:00:00","BZN|SE3","Without Sequence","98.38","",""
"23/04/2024 08:00:00 - 23/04/2024 09:00:00","BZN|SE3","Without Sequence","82.87","",""
"23/04/2024 09:00:00 - 23/04/2024 10:00:00","BZN|SE3","Without Sequence","77.26","",""
"23/04/2024 10:00:00 - 23/04/2024 11:00:00","BZN|SE3","Without Sequence","77.46","",""
"23/04/2024 11:00:00 - 23/04/2024 12:00:00","BZN|SE3","Without Sequence","79.38","",""
"23/04/2024 12:00:00 - 23/04/2024 13:00:00","BZN|SE3","Without Sequence","78.62","",""
"23/04/2024 13:00:00 - 23/04/2024 14:00:00","BZN|SE3","Without Sequence","80.02","",""
"23/04/2024 14:00:00 - 23/04/2024 15:00:00","BZN|SE3","Without Sequence","83.02","",""
"23/04/2024 15:00:00 - 23/04/2024 16:00:00","BZN|SE3","Without Sequence","89.97","",""
"23/04/2024 16:00:00 - 23/04/2024 17:00:00","BZN|SE3","Without Sequence","102.40","",""
"23/04/2024 17:00:00 - 23/04/2024 18:00:00","BZN|SE3","Without Sequence","123.01","",""
"23/04/2024 18:00:00 - 23/04/2024 19:00:00","BZN|SE3","Without Sequence","125.07","",""
"23/04/2024 19:00:00 - 23/04/2024 20:00:00","BZN|SE3","Without Sequence","105.10","",""
"23/04/2024 20:00:00 - 23/04/2024 21:00:00","BZN|SE3","Without Sequence","92.73","",""
"23/04/2024 21:00:00 - 23/04/2024 22:00:00","BZN|SE3","Without Sequence","81.55","",""
"23/04/2024 22:00:00 - 23/04/2024 23:00:00","BZN|SE3","Without Sequence","79.84","",""
"23/04/2024 23:00:00 - 24/04/2024 00:00:00","BZN|SE3","Without Sequence","76.10","",""
"24/04/2024 00:00:00 - 24/04/2024 01:00:00","BZN|SE3","Without Sequence","75.31","",""
"24/04/2024 01:00:00 - 24/04/2024 02:00:00","BZN|SE3","Without Sequence","73.07","",""
"24/04/2024 02:00:00 - 24/04/2024 03:00:00","BZN|SE3","Without Sequence","76.04","",""
"24/04/2024 03:00:00 - 24/04/2024 04:00:00","BZN|SE3","Without Sequence","81.83","",""
"24/04/2024 04:00:00 - 24/04/2024 05:00:00","BZN|SE3","Without Sequence","101.66","",""
"24/04/2024 05:00:00 - 24/04/2024 06:00:00","BZN|SE3","Without Sequence","131.32","",""
"24/04/2024 06:00:00 - 24/04/2024 07:00:00","BZN|SE3","Without Sequence","129.23","",""
"24/04/2024 07:00:00 - 24/04/2024 08:00:00","BZN|SE3","Without Sequence","97.08","",""
"24/04/2024 08:00:00 - 24/04/2024 09:00:00","BZN|SE3","Without Sequence","92.97","",""
"24/04/2024 09:00:00 - 24/04/2024 10:00:00","BZN|SE3","Without Sequence","91.04","",""
"24/04/2024 10:00:00 - 24/04/2024 11:00:00","BZN|SE3","Without Sequence","85.62","",""
"24/04/2024 11:00:00 - 24/04/2024 12:00:00","BZN|SE3","Without Sequence","83.48","",""
"24/04/2024 12:00:00 - 24/04/2024 13:00:00","BZN|SE3","Without Sequence","80.55","",""
"24/04/2024 13:00:00 - 24/04/2024 14:00:00","BZN|SE3","Without Sequence","82.69","",""
"24/04/2024 14:00:00 - 24/04/2024 15:00:00","BZN|SE3","Without Sequence","85.15","",""
"24/04/2024 15:00:00 - 24/04/2024 16:00:00","BZN|SE3","Without Sequence","96.09","",""
"24/04/2024 16:00:00 - 24/04/2024 17:00:00","BZN|SE3","Without Sequence","104.04","",""
"24/04/2024 17:00:00 - 24/04/2024 18:00:00","BZN|SE3","Without Sequence","135.20","",""
"24/04/2024 18:00:00 - 24/04/2024 19:00:00","BZN|SE3","Without Sequence","143.44","",""
"24/04/2024 19:00:00 - 24/04/2024 20:00:00","BZN|SE3","Without Sequence","121.16","",""
"24/04/2024 20:00:00 - 24/04/2024 21:00:00","BZN|SE3","Without Sequence","105.31","",""
"24/04/2024 21:00:00 - 24/04/2024 22:00:00","BZN|SE3","Without Sequence","90.21","",""
"24/04/2024 22:00:00 - 24/04/2024 23:00:00","BZN|SE3","Without Sequence","83.50","",""
"24/04/2024 23:00:00 - 25/04/2024 00:00:00","BZN|SE3","Without Sequence","80.00","",""
"25/04/2024 00:00:00 - 25/04/2024 01:00:00","BZN|SE3","Without Sequence","77.37","",""
"25/04/2024 01:00:00 - 25/04/2024 02:00:00","BZN|SE3","Without Sequence","76.05","",""
"25/04/2024 02:00:00 - 25/04/2024 03:00:00","BZN|SE3","Without Sequence","75.24","",""
"25/04/2024 03:00:00 - 25/04/2024 04:00:00","BZN|SE3","Without Sequence","84.02","",""
"25/04/2024 04:00:00 - 25/04/2024 05:00:00","BZN|SE3","Without Sequence","102.44","",""
"25/04/2024 05:00:00 - 25/04/2024 06:00:00","BZN|SE3","Without Sequence","130.98","",""
"25/04/2024 06:00:00 - 25/04/2024 07:00:00","BZN|SE3","Without Sequence","114.36","",""
"25/04/2024 07:00:00 - 25/04/2024 08:00:00","BZN|SE3","Without Sequence","92.56","",""
"25/04/2024 08:00:00 - 25/04/2024 09:00:00","BZN|SE3","Without Sequence","80.17","",""
"25/04/2024 09:00:00 - 25/04/2024 10:00:00","BZN|SE3","Without Sequence","78.20","",""
"25/04/2024 10:00:00 - 25/04/2024 11:00:00","BZN|SE3","Without Sequence","73.92","",""
"25/04/2024 11:00:00 - 25/04/2024 12:00:00","BZN|SE3","Without Sequence","69.02","",""
"25/04/2024 12:00:00 - 25/04/2024 13:00:00","BZN|SE3","Without Sequence","66.81","",""
"25/04/2024 13:00:00 - 25/04/2024 14:00:00","BZN|SE3","Without Sequence","69.38","",""
"25/04/2024 14:00:00 - 25/04/2024 15:00:00","BZN|SE3","Without Sequence","72.81","",""
"25/04/2024 15:00:00 - 25/04/2024 16:00:00","BZN|SE3","Without Sequence","79.88","",""
"25/04/2024 16:00:00 - 25/04/2024 17:00:00","BZN|SE3","Without Sequence","95.17","",""
"25/04/2024 17:00:00 - 25/04/2024 18:00:00","BZN|SE3","Without Sequence","141.09","",""
"25/04/2024 18:00:00 - 25/04/2024 19:00:00","BZN|SE3","Without Sequence","152.29","",""
"25/04/2024 19:00:00 - 25/04/2024 20:00:00","BZN|SE3","Without Sequence","113.71","",""
"25/04/2024 20:00:00 - 25/04/2024 21:00:00","BZN|SE3","Without Sequence","91.35","",""
"25/04/2024 21:00:00 - 25/04/2024 22:00:00","BZN|SE3","Without Sequence","79.74","",""
"25/04/2024 22:00:00 - 25/04/2024 23:00:00","BZN|SE3","Without Sequence","79.87","",""
"25/04/2024 23:00:00 - 26/04/2024 00:00:00","BZN|SE3","Without Sequence","74.00","",""
"26/04/2024 00:00:00 - 26/04/2024 01:00:00","BZN|SE3","Without Sequence","72.91","",""
"26/04/2024 01:00:00 - 26/04/2024 02:00:00","BZN|SE3","Without Sequence","72.29","",""
"26/04/2024 02:00:00 - 26/04/2024 03:00:00","BZN|SE3","Without Sequence","77.10","",""
"26/04/2024 03:00:00 - 26/04/2024 04:00:00","BZN|SE3","Without Sequence","82.98","",""
"26/04/2024 04:00:00 - 26/04/2024 05:00:00","BZN|SE3","Without Sequence","93.50","",""
"26/04/2024 05:00:00 - 26/04/2024 06:00:00","BZN|SE3","Without Sequence","104.06","",""
"26/04/2024 06:00:00 - 26/04/2024 07:00:00","BZN|SE3","Without Sequence","96.06","",""
"26/04/2024 07:00:00 - 26/04/2024 08:00:00","BZN|SE3","Without Sequence","81.08","",""
"26/04/2024 08:00:00 - 26/04/2024 09:00:00","BZN|SE3","Without Sequence","77.81","",""
"26/04/2024 09:00:00 - 26/04/2024 10:00:00","BZN|SE3","Without Sequence","72.95","",""
"26/04/2024 10:00:00 - 26/04/2024 11:00:00","BZN|SE3","Without Sequence","70.35","",""
"26/04/2024 11:00:00 - 26/04/2024 12:00:00","BZN|SE3","Without Sequence","68.74","",""
"26/04/2024 12:00:00 - 26/04/2024 13:00:00","BZN|SE3","Without Sequence","65.37","",""
"26/04/2024 13:00:00 - 26/04/2024 14:00:00","BZN|SE3","Without Sequence","69.92","",""
"26/04/2024 14:00:00 - 26/04/2024 15:00:00","BZN|SE3","Without Sequence","71.70","",""
"26/04/2024 15:00:00 - 26/04/2024 16:00:00","BZN|SE3","Without Sequence","80.46","",""
"26/04/2024 16:00:00 - 26/04/2024 17:00:00","BZN|SE3","Without Sequence","93.88","",""
"26/04/2024 17:00:00 - 26/04/2024 18:00:00","BZN|SE3","Without Sequence","128.61","",""
"26/04/2024 18:00:00 - 26/04/2024 19:00:00","BZN|SE3","Without Sequence","132.19","",""
"26/04/2024 19:00:00 - 26/04/2024 20:00:00","BZN|SE3","Without Sequence","105.14","",""
"26/04/2024 20:00:00 - 26/04/2024 21:00:00","BZN|SE3","Without Sequence","81.13","",""
"26/04/2024 21:00:00 - 26/04/2024 22:00:00","BZN|SE3","Without Sequence","78.56","",""
"26/04/2024 22:00:00 - 26/04/2024 23:00:00","BZN|SE3","Without Sequence","73.06","",""
"26/04/2024 23:00:00 - 27/04/2024 00:00:00","BZN|SE3","Without Sequence","68.98","",""
"27/04/2024 00:00:00 - 27/04/2024 01:00:00","BZN|SE3","Without Sequence","68.03","",""
"27/04/2024 01:00:00 - 27/04/2024 02:00:00","BZN|SE3","Without Sequence","68.53","",""
"27/04/2024 02:00:00 - 27/04/2024 03:00:00","BZN|SE3","Without Sequence","68.66","",""
"27/04/2024 03:00:00 - 27/04/2024 04:00:00","BZN|SE3","Without Sequence","69.56","",""
"27/04/2024 04:00:00 - 27/04/2024 05:00:00","BZN|SE3","Without Sequence","67.67","",""
"27/04/2024 05:00:00 - 27/04/2024 06:00:00","BZN|SE3","Without Sequence","69.39","",""
"27/04/2024 06:00:00 - 27/04/2024 07:00:00","BZN|SE3","Without Sequence","68.50","",""
"27/04/2024 07:00:00 - 27/04/2024 08:00:00","BZN|SE3","Without Sequence","59.07","",""
"27/04/2024 08:00:00 - 27/04/2024 09:00:00","BZN|SE3","Without Sequence","50.98","",""
"27/04/2024 09:00:00 - 27/04/2024 10:00:00","BZN|SE3","Without Sequence","44.01","",""
"27/04/2024 10:00:00 - 27/04/2024 11:00:00","BZN|SE3","Without Sequence","43.42","",""
"27/04/2024 11:00:00 - 27/04/2024 12:00:00","BZN|SE3","Without Sequence","42.64","",""
"27/04/2024 12:00:00 - 27/04/2024 13:00:00","BZN|SE3","Without Sequence","43.05","",""
"27/04/2024 13:00:00 - 27/04/2024 14:00:00","BZN|SE3","Without Sequence","45.12","",""
"27/04/2024 14:00:00 - 27/04/2024 15:00:00","BZN|SE3","Without Sequence","52.72","",""
"27/04/2024 15:00:00 - 27/04/2024 16:00:00","BZN|SE3","Without Sequence","62.36","",""
"27/04/2024 16:00:00 - 27/04/2024 17:00:00","BZN|SE3","Without Sequence","86.00","",""
"27/04/2024 17:00:00 - 27/04/2024 18:00:00","BZN|SE3","Without Sequence","119.90","",""
"27/04/2024 18:00:00 - 27/04/2024 19:00:00","BZN|SE3","Without Sequence","112.27","",""
"27/04/2024 19:00:00 - 27/04/2024 20:00:00","BZN|SE3","Without Sequence","85.00","",""
"27/04/2024 20:00:00 - 27/04/2024 21:00:00","BZN|SE3","Without Sequence","75.90","",""
"27/04/2024 21:00:00 - 27/04/2024 22:00:00","BZN|SE3","Without Sequence","65.23","",""
"27/04/2024 22:00:00 - 27/04/2024 23:00:00","BZN|SE3","Without Sequence","56.39","",""
"27/04/2024 23:00:00 - 28/04/2024 00:00:00","BZN|SE3","Without Sequence","46.14","",""
"28/04/2024 00:00:00 - 28/04/2024 01:00:00","BZN|SE3","Without Sequence","39.60","",""
"28/04/2024 01:00:00 - 28/04/2024 02:00:00","BZN|SE3","Without Sequence","32.56","",""
"28/04/2024 02:00:00 - 28/04/2024 03:00:00","BZN|SE3","Without Sequence","28.49","",""
"28/04/2024 03:00:00 - 28/04/2024 04:00:00","BZN|SE3","Without Sequence","26.82","",""
"28/04/2024 04:00:00 - 28/04/2024 05:00:00","BZN|SE3","Without Sequence","15.12","",""
"28/04/2024 05:00:00 - 28/04/2024 06:00:00","BZN|SE3","Without Sequence","25.76","",""
"28/04/2024 06:00:00 - 28/04/2024 07:00:00","BZN|SE3","Without Sequence","29.62","",""
"28/04/2024 07:00:00 - 28/04/2024 08:00:00","BZN|SE3","Without Sequence","32.34","",""
"28/04/2024 08:00:00 - 28/04/2024 09:00:00","BZN|SE3","Without Sequence","33.67","",""
"28/04/2024 09:00:00 - 28/04/2024 10:00:00","BZN|SE3","Without Sequence","31.94","",""
"28/04/2024 10:00:00 - 28/04/2024 11:00:00","BZN|SE3","Without Sequence","29.32","",""
"28/04/2024 11:00:00 - 28/04/2024 12:00:00","BZN|SE3","Without Sequence","27.20","",""
"28/04/2024 12:00:00 - 28/04/2024 13:00:00","BZN|SE3","Without Sequence","24.96","",""
"28/04/2024 13:00:00 - 28/04/2024 14:00:00","BZN|SE3","Without Sequence","12.99","",""
"28/04/2024 14:00:00 - 28/04/2024 15:00:00","BZN|SE3","Without Sequence","17.71","",""
"28/04/2024 15:00:00 - 28/04/2024 16:00:00","BZN|SE3","Without Sequence","24.77","",""
"28/04/2024 16:00:00 - 28/04/2024 17:00:00","BZN|SE3","Without Sequence","35.44","",""
"28/04/2024 17:00:00 - 28/04/2024 18:00:00","BZN|SE3","Without Sequence","51.38","",""
"28/04/2024 18:00:00 - 28/04/2024 19:00:00","BZN|SE3","Without Sequence","56.86","",""
"28/04/2024 19:00:00 - 28/04/2024 20:00:00","BZN|SE3","Without Sequence","59.08","",""
"28/04/2024 20:00:00 - 28/04/2024 21:00:00","BZN|SE3","Without Sequence","59.31","",""
"28/04/2024 21:00:00 - 28/04/2024 22:00:00","BZN|SE3","Without Sequence","46.70","",""
"28/04/2024 22:00:00 - 28/04/2024 23:00:00","BZN|SE3","Without Sequence","41.10","",""
"28/04/2024 23:00:00 - 29/04/2024 00:00:00","BZN|SE3","Without Sequence","39.44","",""
"29/04/2024 00:00:00 - 29/04/2024 01:00:00","BZN|SE3","Without Sequence","38.04","",""
"29/04/2024 01:00:00 - 29/04/2024 02:00:00","BZN|SE3","Without Sequence","37.44","",""
"29/04/2024 02:00:00 - 29/04/2024 03:00:00","BZN|SE3","Without Sequence","38.05","",""
"29/04/2024 03:00:00 - 29/04/2024 04:00:00","BZN|SE3","Without Sequence","39.91","",""
"29/04/2024 04:00:00 - 29/04/2024 05:00:00","BZN|SE3","Without Sequence","59.99","",""
"29/04/2024 05:00:00 - 29/04/2024 06:00:00","BZN|SE3","Without Sequence","79.99","",""
